"noc","country_name","year","age_0_4","age_5_14","age_15_24","age_25_64","age_65_plus","total_population","child_population","youth_population","working_age_population","elderly_population","child_proportion","youth_proportion","working_age_proportion","elderly_proportion"
"ABW","Aruba",1952,7889,11002,7788,16361,2012,45052,18891,26679,24149,2012,0.419315457693332,0.592182367042529,0.536025037734174,0.044659504572494
"ABW","Aruba",1956,8355,13281,8628,18224,1596,50084,21636,30264,26852,1596,0.43199424966057,0.604264835077071,0.536139285999521,0.031866464339909
"ABW","Aruba",1960,8291,15062,9889,20122,1574,54938,23353,33242,30011,1574,0.425079180166733,0.605082092540682,0.546270341111799,0.0286504787214678
"ABW","Aruba",1964,8007,15530,10998,21357,1745,57637,23537,34535,32355,1745,0.408366153686,0.599181081596891,0.561358155351597,0.0302756909624026
"ABW","Aruba",1968,7422,15398,11908,22241,2117,59086,22820,34728,34149,2117,0.386216701079782,0.587753444132282,0.577954168500152,0.0358291304200657
"ABW","Aruba",1972,6403,15157,12190,22504,2659,58913,21560,33750,34694,2659,0.365963369714664,0.572878651570961,0.588902279632679,0.0451343506526573
"ABW","Aruba",1976,6251,13424,13758,24544,3315,61292,19675,33433,38302,3315,0.32100437251191,0.545470860797494,0.624910265613783,0.0540853618743066
"ABW","Aruba",1980,6092,11727,13014,27379,3839,62051,17819,30833,40393,3839,0.28716700778392,0.496897713171424,0.650964529177612,0.0618684630384684
"ABW","Aruba",1984,6019,11151,11367,30522,4425,63484,17170,28537,41889,4425,0.270461848654779,0.449514838384475,0.659835549114738,0.0697026022304833
"ABW","Aruba",1988,6121,9522,8286,34503,4789,63221,15643,23929,42789,4789,0.247433605922083,0.378497651096946,0.676816247765774,0.0757501463121431
"ABW","Aruba",1992,6188,12778,9042,36568,4313,68889,18966,28008,45610,4313,0.275312459173453,0.406567086182119,0.662079577291004,0.0626079635355427
"ABW","Aruba",1996,6424,13578,10967,42547,4981,78497,20002,30969,53514,4981,0.25481228581984,0.39452463151458,0.68173305986216,0.0634546543179994
"ABW","Aruba",2000,6917,13896,11370,50566,6023,88772,20813,32183,61936,6023,0.234454557743433,0.362535484161673,0.697697472175911,0.0678479700806561
"ABW","Aruba",2004,6130,14449,12331,52995,7318,93223,20579,32910,65326,7318,0.220750244038488,0.353024468210635,0.700749814959827,0.0784999410016841
"ABW","Aruba",2008,6422,14406,12327,55946,8714,97815,20828,33155,68273,8714,0.212932576803149,0.338956192812963,0.697980882277769,0.0890865409190819
"ABW","Aruba",2012,6236,13857,13527,57706,10448,101774,20093,33620,71233,10448,0.1974276337768,0.330339772436968,0.699913533908464,0.102658832314737
"ABW","Aruba",2016,6329,13560,12990,59336,12774,104989,19889,32879,72326,12774,0.189438893598377,0.313166141214794,0.688891217175133,0.12166988922649
"ABW","Aruba",2020,5861,13742,12426,59719,15663,107411,19603,32029,72145,15663,0.182504585191461,0.298191060505907,0.671672361303777,0.145823053504762
"AFG","Afghanistan",1952,1312385,1971722,1526378,2948439,228860,7987784,3284107,4810485,4474817,228860,0.411141187593455,0.602230230562068,0.560207561947093,0.0286512504594516
"AFG","Afghanistan",1956,1401342,2105988,1614741,3090815,241417,8454303,3507330,5122071,4705556,241417,0.414857380910053,0.605853729160168,0.556587101266657,0.0285555178232907
"AFG","Afghanistan",1960,1543295,2246611,1727263,3262782,255097,9035048,3789906,5517169,4990045,255097,0.419467168298386,0.610640806778226,0.552298670687748,0.0282341610138651
"AFG","Afghanistan",1964,1721597,2440609,1882552,3498897,270662,9814317,4162206,6044758,5381449,270662,0.424095329303099,0.615912243307405,0.548326388886766,0.0275782818101351
"AFG","Afghanistan",1968,1934288,2737360,2026420,3768389,290466,10756923,4671648,6698068,5794809,290466,0.43429222278527,0.622675090265125,0.538705073932388,0.027002703282342
"AFG","Afghanistan",1972,2178844,3082773,2186092,4093158,312829,11853696,5261617,7447709,6279250,312829,0.443879866667746,0.628302682977529,0.529729292872029,0.0263908404602244
"AFG","Afghanistan",1976,2443826,3465233,2404236,4409332,337231,13059858,5909059,8313295,6813568,337231,0.452459666866209,0.636553245831616,0.521718383155468,0.0258219499783229
"AFG","Afghanistan",1980,2496962,3568350,2449146,4323386,331466,13169310,6065312,8514458,6772532,331466,0.460564144970389,0.646537897581574,0.514266275150331,0.0251695798792799
"AFG","Afghanistan",1984,2130776,3108566,2118943,3566213,265723,11190221,5239342,7358285,5685156,265723,0.468207196265382,0.657563867594751,0.508046802650278,0.0237460010843396
"AFG","Afghanistan",1988,2237436,3227054,2231838,3568369,258602,11523299,5464490,7696328,5800207,258602,0.474212289379977,0.667892762307044,0.503346046995743,0.0224416636242798
"AFG","Afghanistan",1992,2687842,3691240,2586499,4015655,297746,13278982,6379082,8965581,6602154,297746,0.480389385270648,0.675170807521239,0.497188263377419,0.0224223513519335
"AFG","Afghanistan",1996,3723843,4981868,3394233,5261315,402004,17763263,8705711,12099944,8655548,402004,0.490096386007458,0.681178002037126,0.487272411605908,0.0226312023866336
"AFG","Afghanistan",2000,4201270,5868912,3729488,5875316,455343,20130329,10070182,13799670,9604804,455343,0.500249250769821,0.685516366871103,0.477130999697024,0.0226197495331547
"AFG","Afghanistan",2004,4723171,7098837,4369955,6834183,534500,23560646,11822008,16191963,11204138,534500,0.501769263881814,0.68724613917632,0.475544600941757,0.0226861351764294
"AFG","Afghanistan",2008,4965687,8077379,5128487,7706324,604740,26482617,13043066,18171553,12834811,604740,0.49251424056769,0.686169082156797,0.484650402941673,0.0228353564906369
"AFG","Afghanistan",2012,5461328,9086869,6293281,9004090,714450,30560018,14548197,20841478,15297371,714450,0.476053286356049,0.6819851349564,0.500568127937621,0.0233785857063304
"AFG","Afghanistan",2016,5989420,9903961,7449441,10540419,817349,34700590,15893381,23342822,17989860,817349,0.45801471963445,0.67269236632576,0.518430954632183,0.0235543257333665
"AFG","Afghanistan",2020,6478381,10799524,8444268,12420582,926198,39068953,17277905,25722173,20864850,926198,0.44224131115057,0.658378866718031,0.534051936329085,0.0237067525203452
"AGO","Angola",1952,740537,1099613,915575,1757472,138494,4651691,1840150,2755725,2673047,138494,0.395587325125422,0.592413597549794,0.574639846025886,0.0297728288486918
"AGO","Angola",1956,835989,1124142,933395,1861380,149361,4904267,1960131,2893526,2794775,149361,0.39967868796703,0.59000172706747,0.56986599628446,0.0304553157485104
"AGO","Angola",1960,950362,1208734,936477,1970995,165081,5231649,2159096,3095573,2907472,165081,0.412698940620825,0.591701201667008,0.555746763592129,0.0315542957870453
"AGO","Angola",1964,1032128,1322510,934307,2004363,170859,5464167,2354638,3288945,2938670,170859,0.430923505815251,0.601911508195119,0.537807501125057,0.0312689930596924
"AGO","Angola",1968,1095045,1479036,955267,2002993,170348,5702689,2574081,3529348,2958260,170348,0.451380217297489,0.618891894683368,0.518748260688949,0.0298715220135624
"AGO","Angola",1972,1174986,1681155,1038605,2109129,170381,6174256,2856141,3894746,3147734,170381,0.462588690847934,0.630804100121537,0.509815919521316,0.0275953896307507
"AGO","Angola",1976,1299040,1916818,1286275,2393871,178592,7074596,3215858,4502133,3680146,178592,0.454564189955158,0.636380225810774,0.520191683030381,0.0252441270144613
"AGO","Angola",1980,1494064,2139983,1555578,2753245,190896,8133766,3634047,5189625,4308823,190896,0.446785289864498,0.638034706186532,0.529745138967607,0.0234695711678944
"AGO","Angola",1984,1760339,2417185,1809994,3226299,211980,9425797,4177524,5987518,5036293,211980,0.443201142566512,0.635226708149985,0.534309512500641,0.0224893449328476
"AGO","Angola",1988,2076239,2792619,2017262,3733132,241925,10861177,4868858,6886120,5750394,241925,0.44828088152877,0.634012317449573,0.529444829045692,0.0222742894255383
"AGO","Angola",1992,2376560,3279311,2238869,4240445,288425,12423610,5655871,7894740,6479314,288425,0.455251814891163,0.635462639281175,0.521532308242129,0.0232158768667078
"AGO","Angola",1996,2660221,3839911,2538563,4776282,355889,14170866,6500132,9038695,7314845,355889,0.458696878511165,0.6378364596772,0.516188989437907,0.0251141320509276
"AGO","Angola",2000,2975119,4412736,2977796,5396187,432914,16194752,7387855,10365651,8373983,432914,0.456188214552467,0.640062348592927,0.517080039262102,0.0267317461854309
"AGO","Angola",2004,3417108,4999973,3518406,6154009,510787,18600283,8417081,11935487,9672415,510787,0.452524351376804,0.64168308621971,0.520014399780907,0.0274612488422891
"AGO","Angola",2008,4008819,5725034,4117714,7136188,590728,21578483,9733853,13851567,11253902,590728,0.451090699934745,0.641915699078568,0.521533510951627,0.0273757891136277
"AGO","Angola",2012,4657077,6713811,4737731,8382373,686191,25177183,11370888,16108619,13120104,686191,0.451634640777723,0.63981022022996,0.521110880434876,0.0272544787874005
"AGO","Angola",2016,5273800,7941053,5380118,9804528,783353,29182852,13214853,18594971,15184646,783353,0.452829387614343,0.63718827070089,0.520327691070085,0.0268429213155726
"AGO","Angola",2020,5817238,9242311,6193400,11286442,911569,33450960,15059549,21252949,17479842,911569,0.450197811961151,0.63534645941402,0.522551281039468,0.0272509069993806
"AIA","Anguilla",1952,1030,1253,985,1942,179,5389,2283,3268,2927,179,0.423640749675264,0.606420486175543,0.543143440341436,0.0332158099832993
"AIA","Anguilla",1956,1160,1478,907,2008,249,5802,2638,3545,2915,249,0.45467080317132,0.610996208204068,0.502412961047915,0.0429162357807653
"AIA","Anguilla",1960,1019,1626,869,1829,458,5801,2645,3514,2698,458,0.455955869677642,0.605757627995173,0.465092225478366,0.0789519048439924
"AIA","Anguilla",1964,1017,1659,1002,1885,431,5994,2676,3678,2887,431,0.446446446446446,0.613613613613614,0.481648314981648,0.0719052385719052
"AIA","Anguilla",1968,1002,1760,1037,1973,435,6207,2762,3799,3010,435,0.444981472531013,0.612050910262607,0.484936362171742,0.070082165297245
"AIA","Anguilla",1972,945,1908,1100,1975,499,6427,2853,3953,3075,499,0.443908510969348,0.61506145946787,0.478450287848141,0.0776412011825113
"AIA","Anguilla",1976,839,1850,1310,1956,590,6545,2689,3999,3266,590,0.410847975553858,0.61100076394194,0.499006875477464,0.0901451489686784
"AIA","Anguilla",1980,776,1663,1451,2051,671,6612,2439,3890,3502,671,0.368874773139746,0.58832425892317,0.529643073200242,0.101482153660012
"AIA","Anguilla",1984,778,1572,1430,2259,725,6764,2350,3780,3689,725,0.34742755765819,0.558840922531047,0.54538734476641,0.107185097575399
"AIA","Anguilla",1988,880,1589,1621,2996,721,7807,2469,4090,4617,721,0.316254643268861,0.52388881772768,0.591392340207506,0.0923530165236326
"AIA","Anguilla",1992,962,1760,1638,3882,763,9005,2722,4360,5520,763,0.302276513048306,0.484175458078845,0.612992781787896,0.0847307051637979
"AIA","Anguilla",1996,925,2002,1639,4692,742,10000,2927,4566,6331,742,0.2927,0.4566,0.6331,0.0742
"AIA","Anguilla",2000,1047,2116,1741,5492,800,11196,3163,4904,7233,800,0.282511611289746,0.438013576277242,0.646034297963558,0.0714540907466952
"AIA","Anguilla",2004,1041,2045,2030,6132,844,12092,3086,5116,8162,844,0.255210056235528,0.423089646046973,0.674991730069467,0.069798213695005
"AIA","Anguilla",2008,1005,2084,2008,6900,914,12911,3089,5097,8908,914,0.239253349856711,0.394779645263729,0.689954302532724,0.0707923476105646
"AIA","Anguilla",2012,971,2161,1871,7336,1062,13401,3132,5003,9207,1062,0.233713901947616,0.373330348481457,0.687038280725319,0.0792478173270652
"AIA","Anguilla",2016,818,2045,2004,8270,1207,14344,2863,4867,10274,1207,0.199595649749024,0.339305633017289,0.716257668711656,0.0841466815393196
"AIA","Anguilla",2020,773,1913,1979,8705,1494,14864,2686,4665,10684,1494,0.180705059203445,0.313845532831001,0.718783638320775,0.10051130247578
"ALB","Albania",1952,201609,309445,242441,476205,78656,1308356,511054,753495,718646,78656,0.390607755075836,0.57590976767791,0.549274050793515,0.0601181941306495
"ALB","Albania",1956,234861,341723,269059,524892,86272,1456807,576584,845643,793951,86272,0.395786126782752,0.58047702955848,0.544993949095522,0.0592199241217265
"ALB","Albania",1960,292845,386290,293291,586467,90342,1649235,679135,972426,879758,90342,0.411787889536664,0.589622461322977,0.533433986060204,0.0547781244031324
"ALB","Albania",1964,307048,471026,316950,652979,93292,1841295,778074,1095024,969929,93292,0.422568898519792,0.594703184443557,0.526764586880429,0.050666514599779
"ALB","Albania",1968,338406,536107,370209,722595,101460,2068777,874513,1244722,1092804,101460,0.422719800152457,0.601670455539674,0.528236731170155,0.0490434686773877
"ALB","Albania",1972,335642,604664,431917,805160,111839,2289222,940306,1372223,1237077,111839,0.410753522375724,0.599427665818344,0.54039188859796,0.0488545890263155
"ALB","Albania",1976,336343,635539,514781,896983,126827,2510473,971882,1486663,1411764,126827,0.387131030686249,0.592184421023449,0.562349804200244,0.0505191651135065
"ALB","Albania",1980,345385,646543,589596,1012580,141060,2735164,991928,1581524,1602176,141060,0.362657595668852,0.578219075711731,0.585769628439099,0.0515727758920489
"ALB","Albania",1984,359797,664841,625174,1164889,150106,2964807,1024638,1649812,1790063,150106,0.34560023637289,0.556465226910217,0.6037704983832,0.0506292652439096
"ALB","Albania",1988,385148,679428,644608,1334398,169228,3212810,1064576,1709184,1979006,169228,0.33135355031888,0.531990376025971,0.615973555859201,0.0526728938219191
"ALB","Albania",1992,377896,677682,606136,1435382,185273,3282369,1055578,1661714,2041518,185273,0.321590290427432,0.5062544765686,0.621964806516269,0.0564449030562987
"ALB","Albania",1996,322246,687916,550255,1476256,208825,3245498,1010162,1560417,2026511,208825,0.311250230319045,0.480794318776348,0.624406793656937,0.0643429760240185
"ALB","Albania",2000,285691,652015,543523,1452815,231923,3165967,937706,1481229,1996338,231923,0.296183125092586,0.467859898729203,0.630561847296576,0.0732550276108374
"ALB","Albania",2004,238092,589185,547361,1457968,265886,3098492,827277,1374638,2005329,265886,0.26699342777067,0.44364742590912,0.647195151706056,0.0858114205232739
"ALB","Albania",2008,190773,508483,538437,1450539,304535,2992767,699256,1237693,1988976,304535,0.233648660253204,0.413561429940921,0.664594336946378,0.101757002800418
"ALB","Albania",2012,172557,417945,533946,1450631,334814,2909893,590502,1124448,1984577,334814,0.202929111139138,0.386422456083437,0.682010300722398,0.115060588138464
"ALB","Albania",2016,179373,359815,498405,1485863,374266,2897722,539188,1037593,1984268,374266,0.186073060148627,0.358071961354471,0.684768242088095,0.129158697763277
"ALB","Albania",2020,158434,344790,426556,1518071,423914,2871765,503224,929780,1944627,423914,0.175231608435927,0.323766046316464,0.67715394539595,0.147614446168123
"AND","Andorra",1952,454,794,785,2823,618,5474,1248,2033,3608,618,0.227986846912678,0.3713920350749,0.65911582024114,0.112897332846182
"AND","Andorra",1956,614,1084,1041,3400,649,6788,1698,2739,4441,649,0.250147318797879,0.403506187389511,0.654242781378904,0.0956098998232174
"AND","Andorra",1960,1025,1549,1508,4779,671,9532,2574,4082,6287,671,0.270037767519933,0.42824171212757,0.659567771716324,0.0703944607637432
"AND","Andorra",1964,1415,2231,1884,6567,690,12787,3646,5530,8451,690,0.285133338546962,0.432470477829045,0.660905607257371,0.0539610541956675
"AND","Andorra",1968,1754,3456,2755,8392,844,17201,5210,7965,11147,844,0.302889366897273,0.463054473577118,0.648043718388466,0.0490669147142608
"AND","Andorra",1972,2261,4444,4557,10534,1182,22978,6705,11262,15091,1182,0.291800852989816,0.490120985290278,0.656758638697885,0.0514405083122987
"AND","Andorra",1976,2884,4879,6346,13714,1634,29457,7763,14109,20060,1634,0.26353668058526,0.478969345147164,0.680992633329939,0.0554706860848016
"AND","Andorra",1980,2609,5758,6993,18149,2293,35802,8367,15360,25142,2293,0.233702027819675,0.429026311379253,0.702251270878722,0.0640467013016033
"AND","Andorra",1984,2476,6511,7253,22925,3126,42291,8987,16240,30178,3126,0.212503842425102,0.384006053297392,0.713579721453737,0.0739164361211605
"AND","Andorra",1988,2313,6987,7795,27968,4375,49438,9300,17095,35763,4375,0.18811440592257,0.345786641854444,0.72339091387192,0.0884946802055099
"AND","Andorra",1992,3125,6807,9764,34752,5764,60212,9932,19696,44516,5764,0.164950508204345,0.327110874908656,0.739321065568325,0.0957284262273301
"AND","Andorra",1996,3329,6635,8745,38245,7047,64001,9964,18709,46990,7047,0.155685067420822,0.292323557444415,0.734207278011281,0.110107654567897
"AND","Andorra",2000,3401,6685,7616,39899,8074,65675,10086,17702,47515,8074,0.153574419489912,0.269539398553483,0.723486867148839,0.122938713361249
"AND","Andorra",2004,3642,7408,7974,46155,9112,74291,11050,19024,54129,9112,0.148739416618433,0.256074087036115,0.72860777213929,0.122652811242277
"AND","Andorra",2008,3758,8387,8629,52571,10116,83461,12145,20774,61200,10116,0.145517067852051,0.24890667497394,0.733276620217826,0.121206311930123
"AND","Andorra",2012,3695,8234,7598,47578,9690,76795,11929,19527,55176,9690,0.155335633830328,0.254274366820757,0.718484276320073,0.1261800898496
"AND","Andorra",2016,3153,7746,7650,44246,9356,72151,10899,18549,51896,9356,0.151058197391582,0.257085833876176,0.719269310196671,0.129672492411748
"AND","Andorra",2020,2609,7763,8343,47672,10989,77376,10372,18715,56015,10989,0.134046732837055,0.241870864350703,0.723932485525227,0.142020781637717
"ARE","United Arab Emirates",1952,14118,22907,16890,28196,2669,84780,37025,53915,45086,2669,0.436718565699457,0.635940080207596,0.531799952819061,0.0314814814814815
"ARE","United Arab Emirates",1956,16182,28783,24503,34566,2942,106976,44965,69468,59069,2942,0.420327924020341,0.649379300029913,0.55217058031708,0.0275014956625785
"ARE","United Arab Emirates",1960,18643,30964,33120,45530,3091,131348,49607,82727,78650,3091,0.377676097085605,0.629830678807443,0.598790997959619,0.0235329049547766
"ARE","United Arab Emirates",1964,23716,31377,38911,62567,3131,159702,55093,94004,101478,3131,0.34497376363477,0.588621307184631,0.63542097155953,0.0196052648057006
"ARE","United Arab Emirates",1968,23976,38254,44775,89156,3271,199432,62230,107005,133931,3271,0.312036182759036,0.53654879858799,0.671562236752377,0.0164015804885876
"ARE","United Arab Emirates",1972,48036,60837,99965,170330,5857,385025,108873,208838,270295,5857,0.282768651386274,0.542401142782936,0.702019349392897,0.0152119992208298
"ARE","United Arab Emirates",1976,73109,92736,130801,308404,10821,615871,165845,296646,439205,10821,0.269285288639991,0.481669050823955,0.713144473436807,0.0175702379232014
"ARE","United Arab Emirates",1980,132132,146339,187203,537863,12174,1015711,278471,465674,725066,12174,0.274163615437856,0.458470962704943,0.713850691781422,0.0119856927807221
"ARE","United Arab Emirates",1984,178726,215491,202129,694772,14887,1306005,394217,596346,896901,14887,0.30184953350102,0.456618466238644,0.686751582114923,0.0113988843840567
"ARE","United Arab Emirates",1988,206678,312199,284241,860795,17884,1681797,518877,803118,1145036,17884,0.308525345211105,0.477535635989361,0.680840791129964,0.0106338636589315
"ARE","United Arab Emirates",1992,220605,373670,392940,1106162,21360,2114737,594275,987215,1499102,21360,0.281016031780784,0.466826371317095,0.708883421437276,0.0101005467819403
"ARE","United Arab Emirates",1996,219592,434404,429528,1487719,26326,2597569,653996,1083524,1917247,26326,0.251772330205665,0.417130016565489,0.738092809084186,0.0101348607101486
"ARE","United Arab Emirates",2000,268801,459151,723091,1997989,44548,3493580,727952,1451043,2721080,44548,0.208368493064421,0.415345576743627,0.77888011724363,0.0127513896919492
"ARE","United Arab Emirates",2004,297233,492359,764737,2801156,73469,4428954,789592,1554329,3565893,73469,0.178279566687755,0.350947198819405,0.805132092137331,0.016588341174914
"ARE","United Arab Emirates",2008,363456,699208,882946,4259053,97995,6302658,1062664,1945610,5141999,97995,0.168605689853392,0.308696743500917,0.815846108102328,0.0155482020442804
"ARE","United Arab Emirates",2012,423203,836345,1039681,5087861,110025,7497115,1259548,2299229,6127542,110025,0.168004359010099,0.306681836946612,0.817319995758368,0.0146756452315324
"ARE","United Arab Emirates",2016,509164,1009020,1261083,6117473,134115,9030855,1518184,2779267,7378556,134115,0.16811077135,0.307752366747113,0.817038475316014,0.0148507533339866
"ARE","United Arab Emirates",2020,531884,1034639,1320922,6413294,147781,9448520,1566523,2887445,7734216,147781,0.165795595500671,0.305597596237294,0.818563753900082,0.0156406505992473
"ARG","Argentina",1952,2053031,3470600,3126465,8292873,755861,17698830,5523631,8650096,11419338,755861,0.312090177712312,0.488738295130243,0.645202987994122,0.0427068342935663
"ARG","Argentina",1956,2170850,3809198,3179152,8988242,902519,19049961,5980048,9159200,12167394,902519,0.313913923498321,0.480798884575144,0.63870965405126,0.0473764224504187
"ARG","Argentina",1960,2254661,4109081,3351875,9594966,1075466,20386049,6363742,9715617,12946841,1075466,0.312161616014952,0.4765816564063,0.6350833847206,0.052754999264448
"ARG","Argentina",1964,2338603,4330555,3673013,10154728,1272548,21769447,6669158,10342171,13827741,1272548,0.306354038299641,0.475077341192911,0.635190273781415,0.0584556879189444
"ARG","Argentina",1968,2390393,4518087,4026213,10731779,1484103,23150575,6908480,10934693,14757992,1484103,0.298415050166141,0.472329218604721,0.637478421162325,0.0641065286715341
"ARG","Argentina",1972,2606467,4662473,4308040,11369990,1697354,24644324,7268940,11576980,15678030,1697354,0.294953921235575,0.46976253030921,0.636172045132989,0.0688740336314358
"ARG","Argentina",1976,2939964,4884084,4485985,12047122,1925110,26282265,7824048,12310033,16533107,1925110,0.297693064125181,0.468377934702355,0.629059443697109,0.07324749217771
"ARG","Argentina",1980,3250595,5282543,4597829,12710787,2169806,28011560,8533138,13130967,17308616,2169806,0.304629160246698,0.468769572276589,0.61790974868947,0.0774610910638322
"ARG","Argentina",1984,3329918,5914845,4760162,13470261,2387838,29863024,9244763,14004925,18230423,2387838,0.309572232202606,0.468972097400451,0.610468082535781,0.0799596852616132
"ARG","Argentina",1988,3355064,6416632,5074041,14275806,2658868,31780411,9771696,14845737,19349847,2658868,0.307475444543496,0.467134833467069,0.608860816809449,0.0836637386470553
"ARG","Argentina",1992,3486475,6634595,5592565,14989882,2989772,33693289,10121070,15713635,20582447,2989772,0.300388305813659,0.466372843565376,0.61087675352798,0.0887349406583608
"ARG","Argentina",1996,3580962,6750523,6157732,15706791,3317271,35513279,10331485,16489217,21864523,3317271,0.290918926410597,0.464311307328169,0.6156717604139,0.0934093131755026
"ARG","Argentina",2000,3530228,6951688,6493981,16643297,3593762,37212956,10481916,16975897,23137278,3593762,0.281673834242031,0.456182438180939,0.621753294739606,0.0965728710183625
"ARG","Argentina",2004,3497605,7062737,6610228,17803698,3839867,38814135,10560342,17170570,24413926,3839867,0.272074644971478,0.442379303313084,0.628995751161271,0.0989296038672509
"ARG","Argentina",2008,3532320,7035364,6772277,18963430,4118004,40421395,10567684,17339961,25735707,4118004,0.261437884565834,0.428979776675199,0.636685275211308,0.101876840222857
"ARG","Argentina",2012,3680572,6992817,6972464,20028875,4482912,42157640,10673389,17645853,27001339,4482912,0.253178047917293,0.418568330675057,0.640485069847363,0.106336882235343
"ARG","Argentina",2016,3735430,7128839,7029111,21103784,4897722,43894886,10864269,17893380,28132895,4897722,0.247506486290909,0.407641564441015,0.640915094300507,0.111578419408584
"ARG","Argentina",2020,3376302,7333780,6965105,22187089,5322719,45184995,10710082,17675187,29152194,5322719,0.237027402570256,0.391173817768487,0.645174222106255,0.11779837532349
"ARM","Armenia",1952,200483,276491,334260,527797,115045,1454076,476974,811234,862057,115045,0.328025495228585,0.557903438334723,0.592855531622831,0.0791189731485837
"ARM","Armenia",1956,244316,286712,349821,634198,115740,1630787,531028,880849,984019,115740,0.325626829254832,0.54013736925791,0.603401302561279,0.0709718681838891
"ARM","Armenia",1960,306489,392137,313861,745134,106056,1863677,698626,1012487,1058995,106056,0.374864313934228,0.54327386129678,0.568228829351867,0.0569068567139048
"ARM","Armenia",1964,338732,514480,280180,884837,101887,2120116,853212,1133392,1165017,101887,0.402436470457277,0.534589616794553,0.549506253431416,0.0480572761113071
"ARM","Armenia",1968,302364,634682,351499,967040,111729,2367314,937046,1288545,1318539,111729,0.395826662622702,0.544306754406048,0.556976810004925,0.0471965273723722
"ARM","Armenia",1972,277048,672599,485019,1012069,130333,2577068,949647,1434666,1497088,130333,0.368499007399106,0.556704751291002,0.580926851755561,0.0505741408453328
"ARM","Armenia",1976,292554,632823,626930,1114668,151178,2818153,925377,1552307,1741598,151178,0.328362938421015,0.550824245525349,0.61799270657058,0.0536443550084044
"ARM","Armenia",1980,341096,606169,726790,1269557,163790,3107402,947265,1674055,1996347,163790,0.304841472072168,0.538731390402658,0.64244890104338,0.052709626884452
"ARM","Armenia",1984,372444,600212,660537,1432131,159209,3224533,972656,1633193,2092668,159209,0.301642439385796,0.506489776969254,0.648983279129102,0.0493742814851019
"ARM","Armenia",1988,397689,629050,581771,1585031,161565,3355106,1026739,1608510,2166802,161565,0.306022820143387,0.479421514551254,0.645822218433635,0.0481549614229774
"ARM","Armenia",1992,399895,706352,559727,1700416,205442,3571832,1106247,1665974,2260143,205442,0.309714174686827,0.466420033193051,0.632768562463184,0.0575172628499885
"ARM","Armenia",1996,279166,748705,489540,1502853,258455,3278719,1027871,1517411,1992393,258455,0.313497741038497,0.462806053217735,0.607674216668156,0.0788280422933469
"ARM","Armenia",2000,202658,618115,558782,1460182,285873,3125610,820773,1379555,2018964,285873,0.262596101241038,0.441371444294074,0.645942392045073,0.0914615067138894
"ARM","Armenia",2004,177673,489518,592064,1436597,326659,3022511,667191,1259255,2028661,326659,0.220740635848803,0.416625448178683,0.671183992382493,0.108075371768705
"ARM","Armenia",2008,196375,378310,584816,1470362,330089,2959952,574685,1159501,2055178,330089,0.19415348627275,0.391729663183727,0.694328151267318,0.111518362459932
"ARM","Armenia",2012,211428,357354,497268,1544932,311488,2922470,568782,1066050,2042200,311488,0.194623725820967,0.364777055025372,0.698792459802838,0.106583814376195
